id	surface	hanja	gloss	level	created	source
1	전원의  행진		promenade		2006-01-16T09:52:46Z	engdic-140261@ezcorean:140261
2	1회의 최저 판매량		minimum purchase		2006-01-16T09:52:46Z	engdic-115211@ezcorean:115211
3	70세		threescore		2006-01-16T09:52:46Z	engdic-185549@ezcorean:185549
4	걸쇠만 걸고		on the  latch		2006-01-16T09:52:46Z	engdic-104241@ezcorean:104241
5	검은고니		black  swan		2006-01-16T09:52:46Z	engdic-180871@ezcorean:180871
6	겨우 말문이 열리다		find one's  tongue		2006-01-16T09:52:46Z	engdic-187172@ezcorean:187172
7	경계인		marginal man		2006-01-16T09:52:46Z	engdic-111048@ezcorean:111048
8	곤경에 빠져 있는 것을 모른체하다		leave a person in the  lurch		2006-01-16T09:52:46Z	engdic-108812@ezcorean:108812
9	교수		schoolman		2006-01-16T09:52:46Z	engdic-162937@ezcorean:162937
10	그런대로		for what it is  worth		2006-01-16T09:52:46Z	engdic-203798@ezcorean:203798
11	단면		fore edge		2006-01-16T09:52:46Z	engdic-70844@ezcorean:70844
12	대예언서		(the  Major Prophets		2006-01-16T09:52:46Z	engdic-109944@ezcorean:109944
13	뒤집히다		turn  turtle		2006-01-16T09:52:46Z	engdic-191039@ezcorean:191039
14	몹씁 장난		practical  joke		2006-01-16T09:52:46Z	engdic-100966@ezcorean:100966
15	물이 새지 않다		hold  water		2006-01-16T09:52:46Z	engdic-200437@ezcorean:200437
16	박탈하다		forejudge		2006-01-16T09:52:46Z	engdic-70942@ezcorean:70942
17	박탈하다		forjudge		2006-01-16T09:52:46Z	engdic-71181@ezcorean:71181
18	번지 레지스터		MAR		2006-01-16T09:52:46Z	engdic-110909@ezcorean:110909
19	베리식 신호광		very light		2006-01-16T09:52:46Z	engdic-197530@ezcorean:197530
20	살을 에는 듯하다		cut like a  knife		2006-01-16T09:52:46Z	engdic-102743@ezcorean:102743
21	살찌게 하다		tallow		2006-01-16T09:52:46Z	engdic-182540@ezcorean:182540
22	선의로 해석하다		take  kindly		2006-01-16T09:52:46Z	engdic-102404@ezcorean:102404
23	손가락 자국		thumbmark		2006-01-16T09:52:46Z	engdic-185798@ezcorean:185798
24	손님을 환대하다		keep  open house		2006-01-16T09:52:46Z	engdic-125451@ezcorean:125451
25	술통에서 갓낸		from the  wood		2006-01-16T09:52:46Z	engdic-203440@ezcorean:203440
26	스타트하다		get off the  mark		2006-01-16T09:52:46Z	engdic-111139@ezcorean:111139
27	아침 노래		matin		2006-01-16T09:52:46Z	engdic-112055@ezcorean:112055
28	어려움을 모면하여 배를 후진시키다		above  water		2006-01-16T09:52:46Z	engdic-200431@ezcorean:200431
29	여선생		schoolmarmish		2006-01-16T09:52:46Z	engdic-162941@ezcorean:162941
30	연장의 큰 브라운		(Brown  major		2006-01-16T09:52:46Z	engdic-109901@ezcorean:109901
31	열중하여		on the  make		2006-01-16T09:52:46Z	engdic-110020@ezcorean:110020
32	오락장거리		midway		2006-01-16T09:52:46Z	engdic-114601@ezcorean:114601
33	유행되고 있다		be in  wear		2006-01-16T09:52:46Z	engdic-200959@ezcorean:200959
34	일원이 되다		make  one		2006-01-16T09:52:46Z	engdic-125125@ezcorean:125125
35	일체 백지로 돌리다		clean the  slate		2006-01-16T09:52:46Z	engdic-169780@ezcorean:169780
36	자기의 것이 되다		come into one's  own		2006-01-16T09:52:46Z	engdic-127728@ezcorean:127728
37	자랑을 늘어 놓다		mount (ride) one's  hobby		2006-01-16T09:52:46Z	engdic-86715@ezcorean:86715
38	점잔빼다		look  wise		2006-01-16T09:52:46Z	engdic-203177@ezcorean:203177
39	정상이다		be  oneself		2006-01-16T09:52:46Z	engdic-125178@ezcorean:125178
40	정숙을 명하다		call to  order		2006-01-16T09:52:46Z	engdic-125910@ezcorean:125910
41	주맥		midrib		2006-01-16T09:52:46Z	engdic-114575@ezcorean:114575
42	주인		host		2006-01-16T09:52:46Z	engdic-88032@ezcorean:88032
43	죽어서도 눈을 못 감게 하다		make (a person) turn in his  grave		2006-01-16T09:52:46Z	engdic-79527@ezcorean:79527
44	짓궂은 사람		dog in the  manger		2006-01-16T09:52:46Z	engdic-110546@ezcorean:110546
45	쨍쨍거리는 여자		common  scold		2006-01-16T09:52:46Z	engdic-163105@ezcorean:163105
46	처리할 수 있는		machinereadable		2006-01-16T09:52:46Z	engdic-109142@ezcorean:109142
47	총톤수		gross(net)  tonnage		2006-01-16T09:52:46Z	engdic-187222@ezcorean:187222
48	큰쪽의		major		2006-01-16T09:52:46Z	engdic-109896@ezcorean:109896
49	키스를 보내다		blow a  kiss		2006-01-16T09:52:46Z	engdic-102551@ezcorean:102551
50	통틀어		in(by)the  lump		2006-01-16T09:52:46Z	engdic-108691@ezcorean:108691
51	하여주다		oblige		2006-01-16T09:52:46Z	engdic-123889@ezcorean:123889
52	해병대		marine		2006-01-16T09:52:46Z	engdic-111072@ezcorean:111072
53	호화판		edition de  luxe		2006-01-16T09:52:46Z	engdic-108890@ezcorean:108890
54	100파운드		keg		2006-01-16T09:52:46Z	engdic-101949@ezcorean:101949
55	10걸		the best  ten		2006-01-16T09:52:46Z	engdic-183804@ezcorean:183804
56	10분의 1의 세		mixed tithe		2006-01-16T09:52:46Z	engdic-115955@ezcorean:115955
57	10일		tenth		2006-01-16T09:52:46Z	engdic-184026@ezcorean:184026
58	12월		Adar		2006-01-16T09:52:46Z	engdic-1540@ezcorean:1540
59	16세기		cinquecento		2006-01-16T09:52:46Z	engdic-28195@ezcorean:28195
60	1단		tier		2006-01-16T09:52:46Z	engdic-186128@ezcorean:186128
