id	surface	gloss	level
5223	가게	Store	A
5233	가격	Price	B
5299	가구	Furniture	B
5300	가구	Family	C
5338	가까워지다	Get closer	B
5339	가까이	Close to, not far	B
5340	가까이	Close to, not far	B
5343	가깝다	Close	A
5347	가꾸다	1) grow or cultivatea 2) dress oneself up	B
5348	가끔	Sometimes	A
5355	가난	Poor	C
5357	가난하다	to be poor	B
5400	가늘다	Thin or  fine or  slender	B
5412	가능	Possibility	C
5416	가능성	Possibility	B
5422	가능하다	To be possible	B
5424	가능해지다	To become possible	C
5427	가다	To go	A
5456	가득	Full	B
5468	가득하다	To fill	B
5469	가득히	Full	C
5475	가라앉다	To sink (calm,settle,subside)	C
5505	가령	1) For example 2) supposing or admitting	C
5507	가로	Width or  breadth	B
5516	가로등	A street light, for lighting up the sidewalk	C
5520	가로막다	Interrupt or  obstruct	C
5526	가로수	A roadside tree	C
5541	가루	Powder or  flour; meal	B
5568	가르다	1) split or  divide 2) distribute or  share  3) distinguish or  separate	C
5582	가르치다	To teach	A
5583	가르침	Teaching or  an instruction	C
5596	가리다	Choose or  select	B
5597	가리다	Pile up or  stack up or heap up	B
5607	가리키다	Point to or  indicate	B
5619	가만	Quietly or  softly	C
5621	가만있다	Remain still or  motionless	C
5623	가만히	Quietly or  softly	B
5677	가뭄	A drought	C
5689	가방	Bag	A
5733	가볍다	Light	A
5764	가사	Words or  lyrics	C
5780	가상	Imagination	C
5837	가수	Singer	A
5844	가스	Gas	B
5939	가슴	Chest	A
5948	가슴속	one's heart feelings	B
6064	가요	A song	B
6078	가운데	In the middle	A
6084	가위	Scissors	B
6095	가을	Autumn or  fall	A
6099	가이드	Guide	B
6109	가입	Entrance	C
6117	가입자	Member or  subscriber	C
6119	가입하다	Join	C
6131	가장	Head of a household	C
6132	가장	Most	A
6216	가정	Supposition	C
6217	가정	Famly	B
6236	가정교사	Private tutor	C
6291	가져가다	To take or  carry	B
6292	가져다주다	Take something to someone	B
6294	가져오다	To bring or  get	A
6297	가족	Family	A
6324	가죽	The skin or  hide or  leather	B
6380	가지	One of the kind or  a sort	B
6381	가지	Eggplant	B
6388	가지다	To have or  take or  hold	A
6389	가지다	Entertain or  hold or  have	A
6401	가짜	Fake	B
6478	가치	Price	C
6479	가치관	one's values or sense of values, a value system	C
6498	가톨릭	Catholic	C
6515	가하다	To add	C
6547	각	Each or  every	B
6558	각각	Each and every (applied to both of 2 options)	B
6559	각각	Each and every  (applied to both of 2 options)	B
6572	각국	Each country	B
6578	각기	Each or  severally or  respectively	C
6665	각오	Readiness or preparation	C
6684	각자	Each one or  every one	B
6685	각자	Each one or  every one	B
6692	각종	All sorts or  varieties	B
6722	간	The interval between	B
6723	간	A salty taste or  saltiness	C
6724	간	Liver	C
6730	간격	A space or  interval	C
6763	간단하다	To be simple	B
6764	간단히	Simply speaking	B
6797	간부	The leaders (cadre, exec, executive, management)	C
6831	간섭	Interfere or meddle	C
6852	간식	Snack	B
6857	간신히	Narrowly or  barely. 겨우	C
6898	간장	soy sauce	B
6905	간접	Indirectness	C
6923	간접적	Indirect or  mediate	C
6989	간판	A signboard	C
6994	간편하다	Simplicity or convenience; simple and convenient	C
7010	간호	Nursing or caring for	C
7017	간호사	A nurse	A
7026	간혹	Occasionally or at times	C
7028	갇히다	Be confined or  shut up	C
7046	갈다	Renew or  substitute ; same as 바꾸다	B
7047	갈다	1) sharpen  (a blade) 2) rub or  chafe 3) make juice in a mixer	B
7051	갈등	Conflict or  troubles	C
7091	갈비	The ribs	A
7093	갈비탕	Beef-rib soup	B
7096	갈색	Brown	B
7101	갈수록	As one goes aong	C
7106	갈아입다	Change one's clothes	B
7109	갈아타다	Transfer (bus or subway)	B
7116	갈증	Thirst	C
7139	감	Persimmon	B
7141	감	Feelings	C
7149	감각	Sense or  sensation or  feeling	C
7211	감기	A cold	A
7235	감다	Close	B
7236	감다	Wind up	C
7245	감독	The director	C
7270	감동	Agitate or  stir up the emotions	B
7273	감동적	Sensational	C
7333	감사	Thanks	A
